0.549 0.092	1.185 0.072
0.687 0.087	1.169 0.030
0.561 0.082	1.171 0.053
0.842 0.159	1.207 0.059
0.478 0.068	1.329 0.055
0.615 0.329	1.270 0.051
1.021 0.237	1.314 0.067
0.850 0.137	1.425 0.080
0.539 0.055	1.273 0.029
0.492 0.090	1.303 0.093
0.521 0.059	1.388 0.045
0.409 0.054	1.122 0.053
0.449 0.074	1.189 0.052
0.470 0.691	1.333 0.097
0.573 0.075	1.239 0.038
0.597 0.118	1.194 0.096
0.985 0.330	1.219 0.042
0.593 0.169	1.336 0.130
0.944 0.171	1.063 0.083
0.395 0.171	1.281 0.049
0.733 0.132	1.179 0.067
0.361 0.093	1.117 0.129
