# nc R M
5.500000000000000444e-01 1.313781838281250103e+01 2.057988982673154332e+00
5.615128205128205874e-01 1.310730080468750103e+01 2.072234767364979913e+00
5.730256410256410193e-01 1.306152443750000103e+01 2.085359371005753193e+00
5.845384615384615623e-01 1.302337746484375103e+01 2.097435317714879233e+00
5.960512820512821053e-01 1.298523049218750103e+01 2.108530111754710834e+00
6.075641025641026483e-01 1.294708351953125103e+01 2.118707110969830776e+00
6.190769230769230802e-01 1.290130715234375103e+01 2.128026204206955097e+00
6.305897435897436232e-01 1.286316017968750103e+01 2.136543200606661586e+00
6.421025641025641661e-01 1.282501320703125103e+01 2.144310240672999246e+00
6.536153846153847091e-01 1.278686623437500103e+01 2.151376430660651096e+00
6.651282051282051411e-01 1.274108986718750103e+01 2.157787434255543868e+00
6.766410256410256840e-01 1.270294289453125103e+01 2.163585800238759571e+00
6.881538461538461160e-01 1.266479592187500103e+01 2.168811694754024355e+00
6.996666666666666590e-01 1.263427834375000103e+01 2.173502190425288916e+00
7.111794871794872019e-01 1.259613137109375103e+01 2.177692247798028280e+00
7.226923076923077449e-01 1.255798439843750103e+01 2.181414098441599947e+00
7.342051282051282879e-01 1.251220803125000103e+01 2.184698227328429443e+00
7.457179487179487198e-01 1.248169045312500103e+01 2.187572979465262968e+00
7.572307692307692628e-01 1.244354348046875103e+01 2.190064747400336742e+00
7.687435897435898058e-01 1.240539650781250103e+01 2.192198061966490918e+00
7.802564102564102377e-01 1.236724953515625103e+01 2.193996303764698119e+00
7.917692307692307807e-01 1.233673195703125103e+01 2.195480827692946058e+00
8.032820512820513237e-01 1.230621437890625103e+01 2.196671592920587557e+00
8.147948717948718667e-01 1.226806740625000103e+01 2.197588023770301380e+00
8.263076923076922986e-01 1.223754982812500103e+01 2.198246949062178768e+00
8.378205128205128416e-01 1.220703225000000103e+01 2.198665350134160423e+00
8.493333333333332735e-01 1.217651467187500103e+01 2.198858283384401258e+00
8.608461538461538165e-01 1.213836769921875103e+01 2.198840257585003233e+00
8.723589743589743595e-01 1.210785012109375103e+01 2.198624813445943627e+00
8.838717948717949024e-01 1.207733254296875103e+01 2.198224556545478769e+00
8.953846153846154454e-01 1.204681496484375103e+01 2.197651267629387561e+00
9.068974358974359884e-01 1.200866799218750103e+01 2.196915853738408142e+00
9.184102564102564203e-01 1.198577980859375103e+01 2.196029071549822298e+00
9.299230769230768523e-01 1.194763283593750103e+01 2.195000104451021006e+00
9.414358974358973953e-01 1.191711525781250103e+01 2.193838673941492790e+00
9.529487179487179382e-01 1.188659767968750103e+01 2.192552984055906595e+00
9.644615384615384812e-01 1.185608010156250103e+01 2.191151021569695878e+00
9.759743589743590242e-01 1.182556252343750103e+01 2.189640697331512786e+00
9.874871794871795672e-01 1.181030373437500103e+01 2.188028719234132780e+00
9.989999999999999991e-01 1.177215676171875103e+01 2.186321702613033491e+00
