# nc R M
5.500000000000000444e-01 1.306152443750000103e+01 2.057988912940538206e+00
5.615128205128205874e-01 1.301574807031250103e+01 2.072234676917925178e+00
5.730256410256410193e-01 1.297760109765625103e+01 2.085359292073559967e+00
5.845384615384615623e-01 1.295471291406250103e+01 2.097435245014255045e+00
5.960512820512821053e-01 1.287078957421875103e+01 2.108530036345412029e+00
6.075641025641026483e-01 1.284790139062500103e+01 2.118707039934925263e+00
6.190769230769230802e-01 1.282501320703125103e+01 2.128026150270059258e+00
6.305897435897436232e-01 1.279449562890625103e+01 2.136543137826745653e+00
6.421025641025641661e-01 1.275634865625000103e+01 2.144310174282434645e+00
6.536153846153847091e-01 1.262664894921875103e+01 2.151375929670746867e+00
6.651282051282051411e-01 1.264953713281250103e+01 2.157787391463074300e+00
6.766410256410256840e-01 1.261901955468750103e+01 2.163585754834706609e+00
6.881538461538461160e-01 1.260376076562500103e+01 2.168811648476690834e+00
6.996666666666666590e-01 1.248169045312500103e+01 2.173501791345321621e+00
7.111794871794872019e-01 1.249694924218750103e+01 2.177692199812587326e+00
7.226923076923077449e-01 1.249694924218750103e+01 2.181414052600645803e+00
7.342051282051282879e-01 1.237487892968750103e+01 2.184697722611625537e+00
7.457179487179487198e-01 1.241302590234375103e+01 2.187572927201705042e+00
7.572307692307692628e-01 1.230621437890625103e+01 2.190064276448575598e+00
7.687435897435898058e-01 1.226806740625000103e+01 2.192197198484128418e+00
7.802564102564102377e-01 1.223754982812500103e+01 2.193995893808350583e+00
7.917692307692307807e-01 1.227569680078125103e+01 2.195480787126762756e+00
8.032820512820513237e-01 1.224517922265625103e+01 2.196671549290736269e+00
8.147948717948718667e-01 1.213836769921875103e+01 2.197587481117640351e+00
8.263076923076922986e-01 1.217651467187500103e+01 2.198246905434616316e+00
8.378205128205128416e-01 1.214599709375000103e+01 2.198665308323280776e+00
8.493333333333332735e-01 1.204681496484375103e+01 2.198858238056724534e+00
8.608461538461538165e-01 1.200866799218750103e+01 2.198839585444610556e+00
8.723589743589743595e-01 1.197815041406250103e+01 2.198624251494646575e+00
8.838717948717949024e-01 1.194763283593750103e+01 2.198223914685631719e+00
8.953846153846154454e-01 1.191711525781250103e+01 2.197650428425020230e+00
9.068974358974359884e-01 1.188659767968750103e+01 2.196915225813519168e+00
9.184102564102564203e-01 1.190948586328125103e+01 2.196029032544129400e+00
9.299230769230768523e-01 1.182556252343750103e+01 2.194999461700248400e+00
9.414358974358973953e-01 1.186370949609375103e+01 2.193838650467962559e+00
9.529487179487179382e-01 1.177215676171875103e+01 2.192552612473331219e+00
9.644615384615384812e-01 1.174163918359375103e+01 2.191150745907977537e+00
9.759743589743590242e-01 1.178741555078125103e+01 2.189640675754944699e+00
9.874871794871795672e-01 1.168823342187500103e+01 2.188027822570082215e+00
9.989999999999999991e-01 1.171875100000000103e+01 2.186321681962549945e+00
