# nc R M
5.500000000000000444e-01 1.316070656640625103e+01 2.057996823348478888e+00
5.615128205128205874e-01 1.312255959375000103e+01 2.072242308212854489e+00
5.730256410256410193e-01 1.308441262109375103e+01 2.085366616135045259e+00
5.845384615384615623e-01 1.304626564843750103e+01 2.097442302577340989e+00
5.960512820512821053e-01 1.299285988671875103e+01 2.108536707602134186e+00
6.075641025641026483e-01 1.296234230859375103e+01 2.118713603153724367e+00
6.190769230769230802e-01 1.292419533593750103e+01 2.128032466537081113e+00
6.305897435897436232e-01 1.288604836328125103e+01 2.136549163201542534e+00
6.421025641025641661e-01 1.283264260156250103e+01 2.144316075620621653e+00
6.536153846153847091e-01 1.280212502343750103e+01 2.151382096944195244e+00
6.651282051282051411e-01 1.275634865625000103e+01 2.157792867474598086e+00
6.766410256410256840e-01 1.272583107812500103e+01 2.163591175913433862e+00
6.881538461538461160e-01 1.268005471093750103e+01 2.168816878711484097e+00
6.996666666666666590e-01 1.263427834375000103e+01 2.173507030481624192e+00
7.111794871794872019e-01 1.261139016015625103e+01 2.177697137165138130e+00
7.226923076923077449e-01 1.256561379296875103e+01 2.181418831598815000e+00
7.342051282051282879e-01 1.253509621484375103e+01 2.184702911801146730e+00
7.457179487179487198e-01 1.249694924218750103e+01 2.187577490186281448e+00
7.572307692307692628e-01 1.245880226953125103e+01 2.190069179735057325e+00
7.687435897435898058e-01 1.242065529687500103e+01 2.192202268241791874e+00
7.802564102564102377e-01 1.239013771875000103e+01 2.194000576550769299e+00
7.917692307692307807e-01 1.235199074609375103e+01 2.195484997375153569e+00
8.032820512820513237e-01 1.231384377343750103e+01 2.196675659566222905e+00
8.147948717948718667e-01 1.228332619531250103e+01 2.197591952170084184e+00
8.263076923076922986e-01 1.225280861718750103e+01 2.198250874269743083e+00
8.378205128205128416e-01 1.220703225000000103e+01 2.198669020029702992e+00
8.493333333333332735e-01 1.217651467187500103e+01 2.198862043961875568e+00
8.608461538461538165e-01 1.214599709375000103e+01 2.198843966284994345e+00
8.723589743589743595e-01 1.212310891015625103e+01 2.198628481304563564e+00
8.838717948717949024e-01 1.207733254296875103e+01 2.198228117888873179e+00
8.953846153846154454e-01 1.204681496484375103e+01 2.197654680628703616e+00
9.068974358974359884e-01 1.201629738671875103e+01 2.196919305125863975e+00
9.184102564102564203e-01 1.199340920312500103e+01 2.196032472707825089e+00
9.299230769230768523e-01 1.196289162500000103e+01 2.195003395240215038e+00
9.414358974358973953e-01 1.193237404687500103e+01 2.193842010813405352e+00
9.529487179487179382e-01 1.190185646875000103e+01 2.192556239955180786e+00
9.644615384615384812e-01 1.187133889062500103e+01 2.191154208145055904e+00
9.759743589743590242e-01 1.184845070703125103e+01 2.189643892159446104e+00
9.874871794871795672e-01 1.181030373437500103e+01 2.188031753944715163e+00
9.989999999999999991e-01 1.179504494531250103e+01 2.186324815263488208e+00
