# nc R M
4.000000000000000951e-03 8.201600010000387329e+02 6.969279168484203701e-01
4.289514716787195051e-03 8.259200010000396333e+02 6.988361698602392202e-01
4.599984126383477138e-03 8.268800010000397833e+02 6.984241142542733094e-01
4.932924901777351566e-03 8.323200010000406337e+02 7.005019215673463640e-01
5.289963490744993210e-03 8.329600010000407337e+02 7.002439897654669787e-01
5.672844061204395522e-03 8.355200010000411339e+02 7.011476453836233969e-01
6.083437021643772410e-03 8.380800010000415341e+02 7.021175350777308921e-01
6.523748158247254063e-03 8.422400010000421844e+02 7.041731364263066340e-01
6.995928433353729853e-03 8.412800010000420343e+02 7.035334720858398283e-01
7.502284493115200271e-03 8.451200010000426346e+02 7.055529010291211600e-01
8.045289935685501909e-03 8.432000010000423345e+02 7.045249768107596511e-01
8.627597394985704604e-03 8.406400010000419343e+02 7.033738444893435915e-01
9.252051499076510005e-03 8.428800010000422844e+02 7.046219879532387154e-01
9.921702766440427743e-03 8.444800010000425345e+02 7.057106627552484079e-01
1.063982250805860230e-02 8.460800010000427847e+02 7.066072328299304317e-01
1.140991880808024488e-02 8.416000010000420843e+02 7.045458781041518126e-01
1.223575366115180370e-02 8.422400010000421844e+02 7.049771150561219279e-01
1.312136135012335544e-02 8.425600010000422344e+02 7.052537707063661898e-01
1.407106815390919696e-02 8.428800010000422844e+02 7.054460126193170533e-01
1.508951348177727837e-02 8.432000010000423345e+02 7.055108373052585424e-01
1.618167253731059296e-02 8.432000010000423345e+02 7.055264429819864125e-01
1.735288062275623308e-02 8.432000010000423345e+02 7.055273999589303235e-01
1.860885920249104666e-02 8.428800010000422844e+02 7.055409603065403434e-01
1.995574385292653644e-02 8.428800010000422844e+02 7.055899949964885565e-01
2.140011423539096846e-02 8.428800010000422844e+02 7.055519754940721144e-01
2.294902623840917172e-02 8.425600010000422344e+02 7.056125277179389199e-01
2.461004644639790129e-02 8.412800010000420343e+02 7.052852621241785247e-01
2.639128910316001705e-02 8.400000010000418342e+02 7.052785017206484319e-01
2.830145575074760264e-02 8.384000010000415841e+02 7.058768882728224670e-01
3.034987773733335142e-02 8.272000010000398333e+02 7.023710636499046478e-01
3.254656180174583802e-02 8.233600010000392331e+02 7.040623868437738686e-01
3.490223895735315718e-02 8.067200010000366319e+02 7.007450516511101180e-01
3.742841691409742877e-02 7.971200010000351313e+02 7.027209626088596339e-01
4.013743629476689001e-02 7.856000010000333305e+02 7.043192101378504821e-01
4.304253092012774035e-02 7.872000010000335806e+02 7.113442246415592196e-01
4.615789245741394597e-02 8.121600010000374823e+02 7.261854227555835095e-01
4.949873974798940646e-02 8.752000010000473367e+02 7.538409949871258675e-01
5.308139315285492071e-02 9.785600010000634938e+02 8.069561389998286538e-01
5.692335427918454593e-02 1.113280001000052835e+03 8.722588217663593824e-01
6.104339147736331794e-02 1.433920000999989043e+03 8.625684980406616020e-01
6.546163152618794667e-02 2.970880001000339234e+03 7.224454189847587804e-01
7.019965795412093368e-02 1.567360009999898409e+02 3.850328055508224490e-02
7.528061647690720282e-02 3.261440099999849451e+01 4.868128895694459612e-02
8.072932806662644345e-02 2.065920099999981119e+01 6.165954831735340202e-02
8.657241020453390612e-02 1.648640100000027076e+01 7.760167206307307108e-02
9.283840691002145928e-02 1.448960100000028284e+01 9.694622318208737100e-02
9.955792818090374030e-02 1.338880100000025131e+01 1.201846024484782560e-01
1.067637995262072231e-01 1.277440100000023371e+01 1.478411304913209157e-01
1.144912223219458208e-01 1.242880100000022381e+01 1.804605754883897850e-01
1.227779457732352808e-01 1.228800100000021978e+01 2.185930331088507539e-01
1.316644513227981372e-01 1.223680100000021831e+01 2.627726478450848058e-01
1.411941504067133479e-01 1.227520100000021941e+01 3.135022225531264861e-01
1.514135965234653658e-01 1.235200100000022161e+01 3.712213760432605536e-01
1.623727126522706843e-01 1.245440100000022454e+01 4.362771175981883798e-01
1.741250351316432354e-01 1.260800100000022894e+01 5.088911813165597486e-01
1.867279751895676854e-01 1.274880100000023297e+01 5.891180316674120565e-01
2.002430994028810696e-01 1.290240100000023737e+01 6.768044868705207495e-01
2.147364304559347126e-01 1.304320100000024141e+01 7.715495370077133375e-01
2.302787696677704443e-01 1.318400100000024544e+01 8.726683371174921433e-01
2.469460428633873383e-01 1.331200100000024911e+01 9.791679761592302356e-01
2.648196712787153073e-01 1.341440100000025204e+01 1.089738742733129095e+00
2.839869693111988780e-01 1.350400100000025461e+01 1.202783292334424159e+00
3.045415710590450575e-01 1.356800100000025644e+01 1.316465070562957029e+00
3.265838877328167134e-01 1.359360100000025717e+01 1.428803861116332286e+00
3.502215981738733275e-01 1.360640100000025754e+01 1.537788517883318162e+00
3.755701748758899505e-01 1.359360100000025717e+01 1.641507424233784596e+00
4.027534480791175042e-01 1.355520100000025607e+01 1.738273113380517154e+00
4.319042106930404135e-01 1.350400100000025461e+01 1.826717582024000031e+00
4.631648670025379499e-01 1.341440100000025204e+01 1.905853614962201625e+00
4.966881283265425218e-01 1.331200100000024911e+01 1.975090807271184357e+00
5.326377590275476193e-01 1.319680100000024581e+01 2.034215596897315237e+00
5.711893765163035264e-01 1.306880100000024214e+01 2.083337997668551989e+00
6.125313091597964776e-01 1.292800100000023811e+01 2.122829668281065896e+00
6.568655162834683425e-01 1.276160100000023334e+01 2.153249992590517081e+00
7.044085747619881488e-01 1.259520100000022858e+01 2.175286426017942976e+00
7.553927370181601209e-01 1.242880100000022381e+01 2.189691383000229585e+00
8.100670655983891466e-01 1.228800100000021978e+01 2.197243818968186879e+00
8.686986498672260026e-01 1.194240100000020988e+01 2.198472306721860559e+00
9.315739107646578976e-01 1.191680100000020914e+01 2.194841498658137713e+00
9.989999999999999991e-01 1.178880100000020548e+01 2.186321747036837682e+00
