# nc R M
4.000000000000000951e-03 1.944000000999957820e+03 1.253504205794548021e+00
4.289514716787195051e-03 1.992000000999955091e+03 1.249487241194855880e+00
4.599984126383477138e-03 1.998400000999954727e+03 1.248463857287544165e+00
4.932924901777351566e-03 1.952000000999957365e+03 1.251317727343435715e+00
5.289963490744993210e-03 1.955200000999957183e+03 1.250724586661562387e+00
5.672844061204395522e-03 2.009600000999954091e+03 1.246595250972707181e+00
6.083437021643772410e-03 1.969600000999956364e+03 1.249226856649854334e+00
6.523748158247254063e-03 2.016000000999953727e+03 1.245779365344764189e+00
6.995928433353729853e-03 2.080000000999950316e+03 1.240860470795885240e+00
7.502284493115200271e-03 2.131200000999947406e+03 1.236765746652974229e+00
8.045289935685501909e-03 2.132800000999947315e+03 1.236713010564418624e+00
8.627597394985704604e-03 2.048000000999952135e+03 1.243545824421136148e+00
9.252051499076510005e-03 2.051200000999951953e+03 1.243508418558738393e+00
9.921702766440427743e-03 1.995200000999954909e+03 1.247949728762251853e+00
1.063982250805860230e-02 2.048000000999952135e+03 1.244438661327750717e+00
1.140991880808024488e-02 2.102400000999949043e+03 1.240701731815497366e+00
1.223575366115180370e-02 2.187200000999944223e+03 1.234123654874041742e+00
1.312136135012335544e-02 2.164800000999945496e+03 1.236547267932918137e+00
1.407106815390919696e-02 2.270400000999939493e+03 1.227974032196018861e+00
1.508951348177727837e-02 2.067200000999951044e+03 1.245575489857881912e+00
1.618167253731059296e-02 2.148800000999946405e+03 1.239855202685097524e+00
1.735288062275623308e-02 2.116800000999948224e+03 1.243314680978170550e+00
1.860885920249104666e-02 2.249600000999940676e+03 1.232974548052329755e+00
1.995574385292653644e-02 2.331200000999936037e+03 1.226402162552286734e+00
2.140011423539096846e-02 2.142400000999946769e+03 1.243781317306947409e+00
2.294902623840917172e-02 2.232000000999941676e+03 1.236738051186468290e+00
2.461004644639790129e-02 2.459200000999928761e+03 1.215757386266952178e+00
2.639128910316001705e-02 2.340800000999935492e+03 1.227139960489699977e+00
2.830145575074760264e-02 2.548800000999923668e+03 1.204954504595266984e+00
3.034987773733335142e-02 2.513600000999925669e+03 1.205931951958584714e+00
3.254656180174583802e-02 3.422400000999874010e+03 1.073951180858260024e+00
3.490223895735315718e-02 3.378560001000547800e+03 1.074562488463895571e+00
3.742841691409742877e-02 4.599680001000456286e+03 7.075158064430353555e-01
4.013743629476689001e-02 2.176640009999831307e+02 3.791077141211642021e-02
4.304253092012774035e-02 6.086400100000005153e+01 4.267831500567137448e-02
4.615789245741394597e-02 3.609600099999811107e+01 4.906409649274751789e-02
4.949873974798940646e-02 2.636800099999918245e+01 5.714449209019013126e-02
5.308139315285492071e-02 2.142720099999972660e+01 6.720558818999831929e-02
5.692335427918454593e-02 1.854720100000004379e+01 7.959790020640365726e-02
6.104339147736331794e-02 1.678080100000023833e+01 9.473634310158661476e-02
6.546163152618794667e-02 1.561600100000031510e+01 1.131035124325799196e-01
7.019965795412093368e-02 1.488640100000029420e+01 1.352531139466428556e-01
7.528061647690720282e-02 1.438720100000027990e+01 1.618136399991937924e-01
8.072932806662644345e-02 1.411840100000027221e+01 1.934886490800993841e-01
8.657241020453390612e-02 1.396480100000026781e+01 2.310536151354547763e-01
9.283840691002145928e-02 1.395200100000026744e+01 2.753507274612944644e-01
9.955792818090374030e-02 1.399040100000026854e+01 3.272713054721600456e-01
1.067637995262072231e-01 1.408000100000027111e+01 3.877354185622990945e-01
1.144912223219458208e-01 1.422080100000027514e+01 4.576506139172055176e-01
1.227779457732352808e-01 1.440000100000028027e+01 5.378614992791251881e-01
1.316644513227981372e-01 1.460480100000028614e+01 6.290719934532684743e-01
1.411941504067133479e-01 1.479680100000029164e+01 7.317482350294350901e-01
1.514135965234653658e-01 1.500160100000029750e+01 8.460023308065138803e-01
1.623727126522706843e-01 1.520640100000030337e+01 9.714659474087925517e-01
1.741250351316432354e-01 1.541120100000030924e+01 1.107162086984806004e+00
1.867279751895676854e-01 1.559040100000031437e+01 1.251430322296599451e+00
2.002430994028810696e-01 1.574400100000031877e+01 1.401902359400711839e+00
2.147364304559347126e-01 1.585920100000032207e+01 1.555593386349276797e+00
2.302787696677704443e-01 1.594880100000032463e+01 1.709083331315362164e+00
2.469460428633873383e-01 1.602560100000032151e+01 1.858804876570810727e+00
2.648196712787153073e-01 1.601280100000032292e+01 2.001357219317256853e+00
2.839869693111988780e-01 1.602560100000032151e+01 2.133800101306901009e+00
3.045415710590450575e-01 1.593600100000032427e+01 2.253860508648560135e+00
3.265838877328167134e-01 1.584640100000032170e+01 2.360035375727526308e+00
3.502215981738733275e-01 1.564160100000031584e+01 2.451574807411072587e+00
3.755701748758899505e-01 1.552640100000031254e+01 2.528398653100127902e+00
4.027534480791175042e-01 1.538560100000030850e+01 2.590944888243286837e+00
4.319042106930404135e-01 1.523200100000030410e+01 2.640033761335105034e+00
4.631648670025379499e-01 1.516800100000030227e+01 2.676720818794935397e+00
4.966881283265425218e-01 1.488640100000029420e+01 2.702184515187110225e+00
5.326377590275476193e-01 1.469440100000028870e+01 2.717643111487716645e+00
5.711893765163035264e-01 1.455360100000028467e+01 2.724301911720985458e+00
6.125313091597964776e-01 1.431040100000027770e+01 2.723282699744139279e+00
6.568655162834683425e-01 1.411840100000027221e+01 2.715651452121408571e+00
7.044085747619881488e-01 1.392640100000026671e+01 2.702363454623342598e+00
7.553927370181601209e-01 1.373440100000026121e+01 2.684282044272163326e+00
8.100670655983891466e-01 1.361920100000025791e+01 2.662185502225418610e+00
8.686986498672260026e-01 1.336320100000025057e+01 2.636746094688403819e+00
9.315739107646578976e-01 1.318400100000024544e+01 2.608581136023738090e+00
9.989999999999999991e-01 1.305600100000024177e+01 2.578223178395499193e+00
