# nc R M
4.000000000000000951e-03 1.998400000999954727e+03 1.259954525667077219e+00
4.289514716787195051e-03 2.040000000999952363e+03 1.257130307268823577e+00
4.599984126383477138e-03 2.033600000999952726e+03 1.257447518246629148e+00
4.932924901777351566e-03 1.944000000999957820e+03 1.263188341149597660e+00
5.289963490744993210e-03 1.960000000999956910e+03 1.262375680163734026e+00
5.672844061204395522e-03 1.985600000999955455e+03 1.261067850240902954e+00
6.083437021643772410e-03 1.942400000999957911e+03 1.263775970220306410e+00
6.523748158247254063e-03 1.958400000999957001e+03 1.263091145422063466e+00
6.995928433353729853e-03 1.985600000999955455e+03 1.261613545985814655e+00
7.502284493115200271e-03 2.001600000999954545e+03 1.260926971088909498e+00
8.045289935685501909e-03 2.011200000999954000e+03 1.260694855880249099e+00
8.627597394985704604e-03 2.025600000999953181e+03 1.259943374259575144e+00
9.252051499076510005e-03 2.035200000999952636e+03 1.259620613702513214e+00
9.921702766440427743e-03 2.046400000999951999e+03 1.258988052020723503e+00
1.063982250805860230e-02 2.046400000999951999e+03 1.259176419640934075e+00
1.140991880808024488e-02 2.049600000999952044e+03 1.259039064210353720e+00
1.223575366115180370e-02 2.046400000999951999e+03 1.259350933913332860e+00
1.312136135012335544e-02 2.048000000999952135e+03 1.259059067720592395e+00
1.407106815390919696e-02 2.028800000999952999e+03 1.260401751703160267e+00
1.508951348177727837e-02 2.012800000999953909e+03 1.261186731637154779e+00
1.618167253731059296e-02 1.996800000999954818e+03 1.261917304614673885e+00
1.735288062275623308e-02 1.972800000999956183e+03 1.263178060089504173e+00
1.860885920249104666e-02 1.950400000999957456e+03 1.264256385660445403e+00
1.995574385292653644e-02 1.985600000999955455e+03 1.262062717682197244e+00
2.140011423539096846e-02 1.948800000999957547e+03 1.264265590748492540e+00
2.294902623840917172e-02 1.953600000999957274e+03 1.264258719602288306e+00
2.461004644639790129e-02 1.948800000999957547e+03 1.264622738312866979e+00
2.639128910316001705e-02 1.942400000999957911e+03 1.265158692305610622e+00
2.830145575074760264e-02 1.932800000999958456e+03 1.266233998568411900e+00
3.034987773733335142e-02 2.028800000999952999e+03 1.261953168014383397e+00
3.254656180174583802e-02 1.995200000999954909e+03 1.268836727135268072e+00
3.490223895735315718e-02 1.864000000999962367e+03 1.284199719355892055e+00
3.742841691409742877e-02 1.804800000999965732e+03 1.297108466265807003e+00
4.013743629476689001e-02 1.686400000999972463e+03 1.324752176904534950e+00
4.304253092012774035e-02 1.772800000999967551e+03 1.320128737315378720e+00
4.615789245741394597e-02 1.900800000999960275e+03 1.302141335392467125e+00
4.949873974798940646e-02 2.009600000999954091e+03 1.292945832107550208e+00
5.308139315285492071e-02 2.287680000999989716e+03 1.277087384682889182e+00
5.692335427918454593e-02 3.323520001000519642e+03 1.150759298607902714e+00
6.104339147736331794e-02 5.052800009999906479e+02 2.343853655969183741e-02
6.546163152618794667e-02 3.284480099999846914e+01 2.966378748895200784e-02
7.019965795412093368e-02 1.917440099999997472e+01 3.804501577442136184e-02
7.528061647690720282e-02 1.493760100000029567e+01 4.856966107687876039e-02
8.072932806662644345e-02 1.299200100000023994e+01 6.160367791883005623e-02
8.657241020453390612e-02 1.200640100000021171e+01 7.756749297403921217e-02
9.283840691002145928e-02 1.146880100000019631e+01 9.692346005636987005e-02
9.955792818090374030e-02 1.122560100000018934e+01 1.201686119195015529e-01
1.067637995262072231e-01 1.112320100000018641e+01 1.478298157475313179e-01
1.144912223219458208e-01 1.111040100000018604e+01 1.804523629689868958e-01
1.227779457732352808e-01 1.121280100000018898e+01 2.185865765616554768e-01
1.316644513227981372e-01 1.135360100000019301e+01 2.627677110725853415e-01
1.411941504067133479e-01 1.152000100000019778e+01 3.134984553365649518e-01
1.514135965234653658e-01 1.171200100000020328e+01 3.712184406399400283e-01
1.623727126522706843e-01 1.190400100000020878e+01 4.362753700897294418e-01
1.741250351316432354e-01 1.212160100000021501e+01 5.088898827518820722e-01
1.867279751895676854e-01 1.233920100000022124e+01 5.891172216455101696e-01
2.002430994028810696e-01 1.253120100000022674e+01 6.768041485961794335e-01
2.147364304559347126e-01 1.271040100000023187e+01 7.715488491672833904e-01
2.302787696677704443e-01 1.290240100000023737e+01 8.726677720946386385e-01
2.469460428633873383e-01 1.305600100000024177e+01 9.791675010198970242e-01
2.648196712787153073e-01 1.319680100000024581e+01 1.089738404301370034e+00
2.839869693111988780e-01 1.327360100000024801e+01 1.202783017589553749e+00
3.045415710590450575e-01 1.338880100000025131e+01 1.316464842820787684e+00
3.265838877328167134e-01 1.337600100000025094e+01 1.428803718717593263e+00
3.502215981738733275e-01 1.347840100000025387e+01 1.537788412480507461e+00
3.755701748758899505e-01 1.337600100000025094e+01 1.641507305992170096e+00
4.027534480791175042e-01 1.340160100000025167e+01 1.738273048015601008e+00
4.319042106930404135e-01 1.340160100000025167e+01 1.826717518605609269e+00
4.631648670025379499e-01 1.319680100000024581e+01 1.905852768191057756e+00
4.966881283265425218e-01 1.310720100000024324e+01 1.975089051379279814e+00
5.326377590275476193e-01 1.310720100000024324e+01 2.034215569651750322e+00
5.711893765163035264e-01 1.288960100000023701e+01 2.083336453339701855e+00
6.125313091597964776e-01 1.276160100000023334e+01 2.122828456498309535e+00
6.568655162834683425e-01 1.268480100000023114e+01 2.153249963226744335e+00
7.044085747619881488e-01 1.246720100000022491e+01 2.175285289164714531e+00
7.553927370181601209e-01 1.231360100000022051e+01 2.189690371517735823e+00
8.100670655983891466e-01 1.214720100000021574e+01 2.197239884373523910e+00
8.686986498672260026e-01 1.194240100000020988e+01 2.198472314825467677e+00
9.315739107646578976e-01 1.182720100000020658e+01 2.194841027615644702e+00
9.989999999999999991e-01 1.166080100000020181e+01 2.186318454590002514e+00
