# nc R M
4.000000000000000951e-03 7.526400010000281782e+02 6.544288467568477596e-01
4.289514716787195051e-03 7.571200010000288785e+02 6.556449008961418023e-01
4.599984126383477138e-03 7.606400010000294287e+02 6.568544869340311454e-01
4.932924901777351566e-03 7.622400010000296788e+02 6.567142525670114361e-01
5.289963490744993210e-03 7.654400010000301791e+02 6.575585061478239624e-01
5.672844061204395522e-03 7.689600010000307293e+02 6.591278451317145182e-01
6.083437021643772410e-03 7.724800010000312795e+02 6.609243822577048899e-01
6.523748158247254063e-03 7.718400010000311795e+02 6.597996097940442839e-01
6.995928433353729853e-03 7.718400010000311795e+02 6.595998994210041655e-01
7.502284493115200271e-03 7.737600010000314796e+02 6.607207068088372104e-01
8.045289935685501909e-03 7.760000010000318298e+02 6.621862426744965502e-01
8.627597394985704604e-03 7.744000010000315797e+02 6.608668595373339283e-01
9.252051499076510005e-03 7.760000010000318298e+02 6.620823377746276606e-01
9.921702766440427743e-03 7.772800010000320299e+02 6.629519626100913721e-01
1.063982250805860230e-02 7.782400010000321799e+02 6.637828035662204362e-01
1.140991880808024488e-02 7.769600010000319799e+02 6.629814595019153378e-01
1.223575366115180370e-02 7.750400010000316797e+02 6.622329740436613266e-01
1.312136135012335544e-02 7.753600010000317297e+02 6.624538237703335719e-01
1.407106815390919696e-02 7.756800010000317798e+02 6.626037752362290423e-01
1.508951348177727837e-02 7.756800010000317798e+02 6.626578281657258263e-01
1.618167253731059296e-02 7.756800010000317798e+02 6.626732285679983736e-01
1.735288062275623308e-02 7.756800010000317798e+02 6.626768467427168741e-01
1.860885920249104666e-02 7.756800010000317798e+02 6.626923885965645411e-01
1.995574385292653644e-02 7.753600010000317297e+02 6.626434912372956010e-01
2.140011423539096846e-02 7.750400010000316797e+02 6.626106478165544322e-01
2.294902623840917172e-02 7.740800010000315297e+02 6.619148553886813335e-01
2.461004644639790129e-02 7.724800010000312795e+02 6.615456794690536269e-01
2.639128910316001705e-02 7.715200010000311295e+02 6.616746407775345729e-01
2.830145575074760264e-02 7.689600010000307293e+02 6.616646949807930556e-01
3.034987773733335142e-02 7.644800010000300290e+02 6.614058751514084733e-01
3.254656180174583802e-02 7.577600010000289785e+02 6.615017124336257659e-01
3.490223895735315718e-02 7.488000010000275779e+02 6.613704519777019453e-01
3.742841691409742877e-02 7.363200010000256270e+02 6.601075137111873659e-01
4.013743629476689001e-02 7.334400010000251768e+02 6.655583408020784297e-01
4.304253092012774035e-02 7.353600010000254770e+02 6.717368158215204499e-01
4.615789245741394597e-02 7.644800010000300290e+02 6.909498786074164123e-01
4.949873974798940646e-02 8.128000010000375823e+02 7.148438430880330596e-01
5.308139315285492071e-02 8.928000010000500879e+02 7.507934449659205978e-01
5.692335427918454593e-02 1.054400001000064549e+03 7.846524629547526608e-01
6.104339147736331794e-02 1.373120001000001139e+03 8.416411199948992117e-01
6.546163152618794667e-02 2.109760000999898693e+03 8.890617382091362542e-01
7.019965795412093368e-02 4.300480001000728407e+03 4.002153404825259386e-01
7.528061647690720282e-02 4.224000100000003499e+01 4.876195256830324204e-02
8.072932806662644345e-02 2.366720099999947990e+01 6.170102754246305915e-02
8.657241020453390612e-02 1.790720100000011428e+01 7.762562884230458926e-02
9.283840691002145928e-02 1.532160100000030667e+01 9.696148819744350444e-02
9.955792818090374030e-02 1.393920100000026707e+01 1.201946353050212662e-01
1.067637995262072231e-01 1.319680100000024581e+01 1.478489554258570204e-01
1.144912223219458208e-01 1.274880100000023297e+01 1.804662842951288426e-01
1.227779457732352808e-01 1.253120100000022674e+01 2.185972697708117030e-01
1.316644513227981372e-01 1.244160100000022418e+01 2.627759705440657623e-01
1.411941504067133479e-01 1.242880100000022381e+01 3.135046620240255488e-01
1.514135965234653658e-01 1.250560100000022601e+01 3.712235858758138884e-01
1.623727126522706843e-01 1.259520100000022858e+01 4.362790407864490794e-01
1.741250351316432354e-01 1.271040100000023187e+01 5.088926168122789306e-01
1.867279751895676854e-01 1.285120100000023591e+01 5.891192947636277877e-01
2.002430994028810696e-01 1.297920100000023957e+01 6.768054362113061773e-01
2.147364304559347126e-01 1.312000100000024361e+01 7.715503178372472570e-01
2.302787696677704443e-01 1.324800100000024727e+01 8.726688106181469395e-01
2.469460428633873383e-01 1.336320100000025057e+01 9.791684067497780086e-01
2.648196712787153073e-01 1.346560100000025351e+01 1.089739123362650108e+00
2.839869693111988780e-01 1.355520100000025607e+01 1.202783643185597384e+00
3.045415710590450575e-01 1.360640100000025754e+01 1.316465286877471774e+00
3.265838877328167134e-01 1.363200100000025827e+01 1.428804075045162936e+00
3.502215981738733275e-01 1.365760100000025901e+01 1.537788766186619860e+00
3.755701748758899505e-01 1.361920100000025791e+01 1.641507500504369554e+00
4.027534480791175042e-01 1.358080100000025681e+01 1.738273248030261398e+00
4.319042106930404135e-01 1.351680100000025497e+01 1.826717635402472784e+00
4.631648670025379499e-01 1.344000100000025277e+01 1.905853725131346099e+00
4.966881283265425218e-01 1.332480100000024947e+01 1.975090853526459078e+00
5.326377590275476193e-01 1.322240100000024654e+01 2.034215670636373208e+00
5.711893765163035264e-01 1.308160100000024251e+01 2.083338042243862986e+00
6.125313091597964776e-01 1.294080100000023847e+01 2.122829708435799212e+00
6.568655162834683425e-01 1.276160100000023334e+01 2.153249996701679603e+00
7.044085747619881488e-01 1.262080100000022931e+01 2.175286481859361132e+00
7.553927370181601209e-01 1.246720100000022491e+01 2.189691440344364359e+00
8.100670655983891466e-01 1.228800100000021978e+01 2.197243822077857622e+00
8.686986498672260026e-01 1.194240100000020988e+01 2.198472307826732752e+00
9.315739107646578976e-01 1.195520100000021024e+01 2.194841549568876893e+00
9.989999999999999991e-01 1.178880100000020548e+01 2.186321748676907983e+00
